algorithm,cls_name,leaf_size,log_time,metric,metric_params,n_jobs,n_neighbors,p,test_accuracy,test_shape,time_test_test,time_test_train,time_training,train_accuracy,train_shape,weights
auto,KNeighborsClassifier,30,2018-01-26 11:39:09,minkowski,,1,3,2,66.1212121212,"(9900, 40)",0.05388951301574707,0.0014407634735107422,0.0003666877746582031,83.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 12:59:43,minkowski,,1,3,2,71.3535353535,"(9900, 40)",0.08230113983154297,0.0016117095947265625,0.0005860328674316406,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 12:59:43,minkowski,,1,3,2,65.8686868687,"(9900, 40)",0.053104400634765625,0.0016376972198486328,0.00036597251892089844,84.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:00:41,minkowski,,1,3,2,71.303030303,"(9900, 40)",0.08153009414672852,0.0018801689147949219,0.0006153583526611328,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:00:41,minkowski,,1,3,2,65.9090909091,"(9900, 40)",0.0539860725402832,0.0014295578002929688,0.0003490447998046875,85.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:00:43,minkowski,,1,3,2,65.9696969697,"(9900, 40)",0.08214163780212402,0.001535654067993164,0.0005931854248046875,84.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:00:43,minkowski,,1,3,2,71.202020202,"(9900, 40)",0.05420422554016113,0.0015254020690917969,0.0003528594970703125,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:00:57,minkowski,,1,3,2,65.9696969697,"(9900, 40)",0.08389973640441895,0.0015339851379394531,0.0005991458892822266,83.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:00:57,minkowski,,1,3,2,71.2626262626,"(9900, 40)",0.0626077651977539,0.0014829635620117188,0.00036025047302246094,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:01:00,minkowski,,1,3,2,66.0505050505,"(9900, 40)",0.07784700393676758,0.0015118122100830078,0.0005846023559570312,83.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:01:00,minkowski,,1,3,2,71.404040404,"(9900, 40)",0.0548396110534668,0.0015616416931152344,0.0008294582366943359,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:01:33,minkowski,,1,3,2,71.5151515152,"(9900, 40)",0.09778594970703125,0.0018532276153564453,0.0006096363067626953,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:01:33,minkowski,,1,3,2,66.0808080808,"(9900, 40)",0.05491232872009277,0.0009570121765136719,0.0002894401550292969,85.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:01:34,minkowski,,1,3,2,65.9696969697,"(9900, 40)",0.08455324172973633,0.0015430450439453125,0.000583648681640625,83.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:01:35,minkowski,,1,3,2,71.3131313131,"(9900, 40)",0.0553431510925293,0.001508474349975586,0.0003476142883300781,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:01:40,minkowski,,1,3,2,71.4747474747,"(9900, 40)",0.08962512016296387,0.0016171932220458984,0.0005831718444824219,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:01:40,minkowski,,1,3,2,66.0404040404,"(9900, 40)",0.054468631744384766,0.0010013580322265625,0.00031280517578125,83.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:02:19,minkowski,,1,5,2,62.9494949495,"(9900, 40)",0.144744873046875,0.0016109943389892578,0.0005979537963867188,76.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:02:19,minkowski,,1,4,2,65.0,"(9900, 40)",0.0519862174987793,0.0009543895721435547,0.0002722740173339844,82.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:02:19,minkowski,,1,4,2,70.1313131313,"(9900, 40)",0.05677986145019531,0.0011456012725830078,0.0002925395965576172,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:02:19,minkowski,,1,1,2,71.8282828283,"(9900, 40)",0.04848289489746094,0.009881019592285156,0.0002739429473876953,100.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:02:19,minkowski,,1,2,2,63.5252525253,"(9900, 40)",0.04982161521911621,0.0009336471557617188,0.00026917457580566406,82.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:02:19,minkowski,,1,1,2,71.8282828283,"(9900, 40)",0.04768109321594238,0.0007550716400146484,0.0002675056457519531,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:02:20,minkowski,,1,3,2,71.4444444444,"(9900, 40)",0.052720069885253906,0.0009918212890625,0.0002722740173339844,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:02:20,minkowski,,1,5,2,68.9595959596,"(9900, 40)",0.05781960487365723,0.001172780990600586,0.00028014183044433594,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:02:20,minkowski,,1,2,2,71.8282828283,"(9900, 40)",0.04905891418457031,0.0009965896606445312,0.0003159046173095703,100.0,"(100, 40)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:02:20,minkowski,,1,3,2,65.7676767677,"(9900, 40)",0.05364704132080078,0.0009441375732421875,0.0002703666687011719,83.0,"(100, 40)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:02:48,minkowski,,1,4,2,69.6666666667,"(9900, 43)",0.14381694793701172,0.001705169677734375,0.0005795955657958984,100.0,"(100, 43)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:02:48,minkowski,,1,2,2,71.3636363636,"(9900, 43)",0.05543184280395508,0.0010995864868164062,0.00032210350036621094,100.0,"(100, 43)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:02:48,minkowski,,1,4,2,64.4747474747,"(9900, 43)",0.05667448043823242,0.0012042522430419922,0.0002903938293457031,80.0,"(100, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:02:48,minkowski,,1,1,2,71.3636363636,"(9900, 43)",0.0479433536529541,0.014373064041137695,0.000308990478515625,100.0,"(100, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:02:48,minkowski,,1,3,2,65.4848484848,"(9900, 43)",0.05813884735107422,0.0009610652923583984,0.0002651214599609375,82.0,"(100, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:02:48,minkowski,,1,2,2,63.3636363636,"(9900, 43)",0.0523529052734375,0.0010073184967041016,0.0002684593200683594,84.0,"(100, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:02:48,minkowski,,1,5,2,62.1818181818,"(9900, 43)",0.060982465744018555,0.0009949207305908203,0.00028324127197265625,74.0,"(100, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:02:49,minkowski,,1,1,2,71.3636363636,"(9900, 43)",0.0496525764465332,0.0007715225219726562,0.0002713203430175781,100.0,"(100, 43)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:02:49,minkowski,,1,3,2,70.9898989899,"(9900, 43)",0.057352304458618164,0.0016286373138427734,0.00030422210693359375,100.0,"(100, 43)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:02:49,minkowski,,1,5,2,68.4141414141,"(9900, 43)",0.06270837783813477,0.0010614395141601562,0.0002727508544921875,100.0,"(100, 43)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:59:44,minkowski,,1,2,2,70.3535353535,"(9900, 784)",1.0877799987792969,0.012985467910766602,0.0006539821624755859,100.0,"(100, 784)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:59:45,minkowski,,1,1,2,70.3636363636,"(9900, 784)",1.0910887718200684,0.010553121566772461,0.0008883476257324219,100.0,"(100, 784)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:59:48,minkowski,,1,5,2,60.5252525253,"(9900, 784)",2.2480876445770264,0.011469841003417969,0.0007188320159912109,69.0,"(100, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:59:49,minkowski,,1,2,2,61.5555555556,"(9900, 784)",1.089752435684204,0.011066675186157227,0.0006852149963378906,82.0,"(100, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:59:50,minkowski,,1,4,2,62.404040404,"(9900, 784)",1.095151662826538,0.021749019622802734,0.0007007122039794922,77.0,"(100, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:59:51,minkowski,,1,5,2,66.797979798,"(9900, 784)",1.1085689067840576,0.011330366134643555,0.0006842613220214844,100.0,"(100, 784)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:59:52,minkowski,,1,3,2,64.0404040404,"(9900, 784)",1.1040849685668945,0.011907100677490234,0.0007450580596923828,83.0,"(100, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:59:53,minkowski,,1,1,2,70.3636363636,"(9900, 784)",1.0871481895446777,0.014796972274780273,0.0006275177001953125,100.0,"(100, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-26 13:59:54,minkowski,,1,3,2,69.4343434343,"(9900, 784)",1.0974774360656738,0.01462697982788086,0.0007610321044921875,100.0,"(100, 784)",distance
auto,KNeighborsClassifier,30,2018-01-26 13:59:55,minkowski,,1,4,2,68.8383838384,"(9900, 784)",1.0971810817718506,0.013747453689575195,0.0006084442138671875,100.0,"(100, 784)",distance
auto,KNeighborsClassifier,30,2018-01-26 14:00:50,minkowski,,1,3,2,69.4343434343,"(9900, 784)",1.0900051593780518,0.014356374740600586,0.0009481906890869141,100.0,"(100, 784)",distance
auto,KNeighborsClassifier,30,2018-01-26 14:00:51,minkowski,,1,3,2,64.0404040404,"(9900, 784)",1.0977118015289307,0.012316703796386719,0.0022192001342773438,83.0,"(100, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-26 14:05:55,minkowski,,1,3,2,13.0,"(100, 784)",1.2716615200042725,126.72239065170288,0.5931792259216309,100.0,"(10000, 784)",distance
auto,KNeighborsClassifier,30,2018-01-26 17:44:34,minkowski,,1,4,2,95.9,"(1000, 784)",12.157023429870605,208.01102995872498,0.453080415725708,100.0,"(9000, 784)",distance
auto,KNeighborsClassifier,30,2018-01-26 17:48:06,minkowski,,1,4,2,97.9,"(1000, 38)",0.3779723644256592,6.004067897796631,0.020893335342407227,100.0,"(9000, 38)",distance
auto,KNeighborsClassifier,30,2018-02-02 18:19:00,minkowski,,1,4,2,0.0,"(100, 38)",0.04979825019836426,6.889439105987549,0.05224180221557617,100.0,"(10000, 38)",distance
auto,KNeighborsClassifier,30,2018-02-02 18:19:24,minkowski,,1,4,2,66.0,"(100, 38)",0.05972409248352051,6.850133419036865,0.0682070255279541,100.0,"(10000, 38)",distance
auto,KNeighborsClassifier,30,2018-02-02 18:19:54,minkowski,,1,4,2,66.0,"(100, 38)",0.05111813545227051,7.038163423538208,0.019127845764160156,100.0,"(10000, 38)",distance
auto,KNeighborsClassifier,30,2018-02-02 18:20:48,minkowski,,1,4,2,67.0,"(100, 38)",0.04825925827026367,6.857508897781372,0.017932891845703125,100.0,"(10000, 38)",distance
auto,KNeighborsClassifier,30,2018-02-02 18:23:49,minkowski,,1,4,2,65.0,"(100, 38)",0.04107165336608887,6.837062120437622,0.04673504829406738,100.0,"(10000, 38)",distance
