C,class_weight,cls_name,dual,fit_intercept,intercept_scaling,log_time,max_iter,multi_class,n_jobs,penalty,random_state,solver,test_accuracy,test_shape,time_test_test,time_test_train,time_training,tol,train_accuracy,train_shape,verbose,warm_start
0.1111111111111111,,LogisticRegression,False,True,1,2018-01-26 18:07:04,1000,ovr,1,l2,,liblinear,73.2121212121,"(9900, 500)",0.015809059143066406,0.0009062290191650391,0.1890697479248047,0.0001,87.4,"(500, 500)",0,False
27,,LogisticRegression,False,True,1,2018-01-26 18:07:04,1000,ovr,1,l2,,liblinear,77.6666666667,"(9900, 500)",0.015472888946533203,0.0009584426879882812,0.4066472053527832,0.0001,100.0,"(500, 500)",0,False
9,,LogisticRegression,False,True,1,2018-01-26 18:07:04,1000,ovr,1,l2,,liblinear,77.8585858586,"(9900, 500)",0.016537904739379883,0.0009105205535888672,0.36501193046569824,0.0001,99.4,"(500, 500)",0,False
0.037037037037037035,,LogisticRegression,False,True,1,2018-01-26 18:07:05,1000,ovr,1,l2,,liblinear,67.7272727273,"(9900, 500)",0.018855810165405273,0.001004934310913086,0.14623570442199707,0.0001,81.8,"(500, 500)",0,False
81,,LogisticRegression,False,True,1,2018-01-26 18:07:05,1000,ovr,1,l2,,liblinear,77.2222222222,"(9900, 500)",0.015689373016357422,0.0009052753448486328,0.4152259826660156,0.0001,100.0,"(500, 500)",0,False
0.3333333333333333,,LogisticRegression,False,True,1,2018-01-26 18:07:05,1000,ovr,1,l2,,liblinear,75.8787878788,"(9900, 500)",0.015341043472290039,0.0009148120880126953,0.22052907943725586,0.0001,94.0,"(500, 500)",0,False
3,,LogisticRegression,False,True,1,2018-01-26 18:07:06,1000,ovr,1,l2,,liblinear,77.7373737374,"(9900, 500)",0.019304275512695312,0.0009405612945556641,0.2975435256958008,0.0001,99.0,"(500, 500)",0,False
1,,LogisticRegression,False,True,1,2018-01-26 18:07:06,1000,ovr,1,l2,,liblinear,77.4545454545,"(9900, 500)",0.015581607818603516,0.0009143352508544922,0.24701428413391113,0.0001,96.4,"(500, 500)",0,False
3,,LogisticRegression,False,True,1,2018-01-26 18:07:14,1000,ovr,1,l2,,liblinear,76.2121212121,"(9900, 40)",0.002603292465209961,0.0003955364227294922,0.04582095146179199,0.0001,97.8,"(500, 40)",0,False
243,,LogisticRegression,False,True,1,2018-01-26 18:07:14,1000,ovr,1,l2,,liblinear,73.1111111111,"(9900, 40)",0.0018622875213623047,0.0002701282501220703,0.05829262733459473,0.0001,100.0,"(500, 40)",0,False
0.00411522633744856,,LogisticRegression,False,True,1,2018-01-26 18:07:14,1000,ovr,1,l2,,liblinear,56.4444444444,"(9900, 40)",0.0018041133880615234,0.00021982192993164062,0.00637364387512207,0.0001,70.0,"(500, 40)",0,False
81,,LogisticRegression,False,True,1,2018-01-26 18:07:14,1000,ovr,1,l2,,liblinear,74.3232323232,"(9900, 40)",0.002090930938720703,0.000286102294921875,0.046689510345458984,0.0001,99.6,"(500, 40)",0,False
9,,LogisticRegression,False,True,1,2018-01-26 18:07:14,1000,ovr,1,l2,,liblinear,75.8282828283,"(9900, 40)",0.003179788589477539,0.0009059906005859375,0.03040456771850586,0.0001,98.4,"(500, 40)",0,False
